"GEOID","NAME","poverty_rateE","poverty_rateM","unemployment_rateE","unemployment_rateM","no_health_insuranceE","no_health_insuranceM","education_less_than_hsE","education_less_than_hsM","median_ageE","median_ageM","black_populationE","black_populationM","white_populationE","white_populationM","american_indian_alaska_native_aloneE","american_indian_alaska_native_aloneM","asian_aloneE","asian_aloneM","native_hawaiian_other_pacific_islander_aloneE","native_hawaiian_other_pacific_islander_aloneM","male_65_69E","male_65_69M","male_70_74E","male_70_74M","male_75_79E","male_75_79M","male_80_84E","male_80_84M","male_85plusE","male_85plusM","female_65_69E","female_65_69M","female_70_74E","female_70_74M","female_75_79E","female_75_79M","female_80_84E","female_80_84M","female_85plusE","female_85plusM","summary_est","summary_moe","year","total_65plus","poverty_rate_pct","unemployment_rate_pct","no_health_insurance_pct","education_less_than_hs_pct","black_population_pct","white_population_pct","american_indian_pct","asian_pct","pacific_islander_pct","pct_65plus","black_65plus_pct","white_65plus_pct","asian_65plus_pct"
"11001001902","Census Tract 19.02, District of Columbia, District of Columbia",195,130,104,72,87,56,26,22,42.6,5.7,1689,192,310,139,0,12,14,14,0,12,124,47,66,39,37,25,56,44,11,17,123,55,19,16,66,42,35,39,10,11,2170,148,2013,547,8.98617511520737,4.7926267281106,4.00921658986175,1.19815668202765,77.8341013824885,14.2857142857143,0,0.645161290322581,0,25.2073732718894,308.775137111517,56.672760511883,2.55941499085923
"11001002701","Census Tract 27.01, District of Columbia, District of Columbia",540,198,264,169,184,123,62,76,34.5,2.5,851,262,3406,474,14,21,135,87,0,12,118,79,78,90,67,97,0,12,29,29,51,43,52,62,73,49,41,44,83,55,4600,475,2013,592,11.7391304347826,5.73913043478261,4,1.34782608695652,18.5,74.0434782608696,0.304347826086957,2.93478260869565,0,12.8695652173913,143.75,575.337837837838,22.8040540540541
"11001002801","Census Tract 28.01, District of Columbia, District of Columbia",791,274,212,107,298,178,150,111,32.3,2.7,1559,391,1542,496,0,12,477,286,0,12,87,72,19,29,47,38,49,39,0,12,59,44,20,24,10,16,19,27,61,61,4210,568,2013,371,18.7885985748219,5.03562945368171,7.07838479809976,3.56294536817102,37.0308788598575,36.6270783847981,0,11.3301662707838,0,8.81235154394299,420.215633423181,415.633423180593,128.571428571429
"11001005500","Census Tract 55, District of Columbia, District of Columbia",968,430,179,97,127,99,0,17,32.2,1.1,265,143,4860,580,91,67,823,305,0,17,34,53,93,86,118,93,83,51,65,54,55,66,51,55,167,111,66,64,59,59,6321,579,2013,791,15.3140325897801,2.83183040658124,2.00917576332859,0,4.19237462426831,76.8865685809207,1.43964562569214,13.0200917576333,0,12.5138427464009,33.5018963337547,614.41213653603,104.045512010114
"11001006202","Census Tract 62.02, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,NA,NA,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11001007804","Census Tract 78.04, District of Columbia, District of Columbia",952,413,123,101,147,131,35,35,40.5,7.9,3070,414,37,19,0,12,32,40,0,12,74,51,9,17,67,66,0,12,18,43,147,78,70,65,44,56,50,50,62,45,3240,450,2013,541,29.3827160493827,3.7962962962963,4.53703703703704,1.08024691358025,94.7530864197531,1.14197530864198,0,0.987654320987654,0,16.6975308641975,567.467652495379,6.83918669131238,5.91497227356747
"11001008001","Census Tract 80.01, District of Columbia, District of Columbia",297,174,109,70,158,98,1,2,36,2.8,1019,271,1378,181,0,12,208,176,0,12,76,57,45,37,12,17,0,12,8,13,82,51,19,22,34,39,15,17,43,53,2706,323,2013,334,10.9756097560976,4.02808573540281,5.83887657058389,0.0369549150036955,37.6570583887657,50.9238728750924,0,7.68662232076866,0,12.3429416112343,305.089820359281,412.574850299401,62.2754491017964
"11001008301","Census Tract 83.01, District of Columbia, District of Columbia",207,126,120,82,123,141,0,12,32.2,2.4,342,106,2064,310,0,12,150,96,0,12,97,52,7,12,18,20,34,26,22,23,84,48,42,26,121,54,17,19,16,23,2683,315,2013,458,7.71524412970555,4.47260529258293,4.5844204248975,0,12.7469250838613,76.9288110324264,0,5.59075661572866,0,17.0704435333582,74.6724890829694,450.655021834061,32.7510917030568
"11001008803","Census Tract 88.03, District of Columbia, District of Columbia",674,315,227,177,52,80,0,12,24.1,4.5,1215,297,597,182,8,15,54,37,0,12,135,122,28,30,5,9,19,26,11,13,13,20,4,11,18,17,0,12,9,10,2099,432,2013,242,32.1105288232492,10.814673654121,2.47737017627442,0,57.8847070033349,28.4421152929967,0.381133873272987,2.57265364459266,0,11.5292996665079,502.066115702479,246.694214876033,22.3140495867769
"11001009301","Census Tract 93.01, District of Columbia, District of Columbia",483,190,270,141,77,45,11,17,36.5,5.1,2132,319,1075,216,70,81,110,78,11,16,74,51,51,41,70,55,0,12,93,54,159,83,51,35,76,38,17,26,38,38,3509,297,2013,629,13.7646053006555,7.69449985750926,2.19435736677116,0.313479623824451,60.7580507267028,30.635508691935,1.99487033342833,3.13479623824451,0.313479623824451,17.9253348532345,338.950715421304,170.906200317965,17.4880763116057
"11001009504","Census Tract 95.04, District of Columbia, District of Columbia",277,140,305,125,56,43,27,40,45.9,6.7,2090,219,427,120,7,11,20,23,0,12,109,74,14,16,77,52,0,12,35,26,229,78,53,33,44,32,27,24,52,27,2847,286,2013,640,9.72953986652617,10.7130312609765,1.9669827889006,0.948366701791359,73.410607657183,14.9982437653671,0.245872848612575,0.702493853178785,0,22.4798033017211,326.5625,66.71875,3.125
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia",328,182,118,85,45,74,5,13,30.9,3,133,76,2720,440,149,144,210,111,0,12,80,72,17,23,30,36,15,25,0,12,49,38,62,47,18,28,0,12,46,47,3357,456,2013,317,9.77062853738457,3.51504319332738,1.34048257372654,0.148942508191838,3.96187071790289,81.0247244563598,4.43848674411677,6.25558534405719,0,9.44295501936253,41.9558359621451,858.044164037855,66.2460567823344
"11001010800","Census Tract 108, District of Columbia, District of Columbia",835,286,200,91,414,143,0,17,20,0.5,804,259,4720,802,10,19,700,183,0,17,5,7,1,3,12,20,0,17,0,17,8,13,0,17,0,17,0,17,4,6,6615,800,2013,30,12.6228269085412,3.02343159486017,6.25850340136054,0,12.1541950113379,71.3529856386999,0.151171579743008,10.5820105820106,0,0.453514739229025,2680,15733.3333333333,2333.33333333333
"11001004901","Census Tract 49.01, District of Columbia, District of Columbia",560,288,156,92,127,90,5,14,31.3,1.4,1000,162,1208,295,0,12,88,49,0,12,109,62,40,26,28,25,3,6,0,12,90,56,12,15,17,21,12,14,19,18,2403,300,2013,330,23.304203079484,6.49188514357054,5.28506034124012,0.208073241781107,41.6146483562214,50.2704952143154,0,3.66208905534748,0,13.7328339575531,303.030303030303,366.060606060606,26.6666666666667
"11001006500","Census Tract 65, District of Columbia, District of Columbia",160,88,86,62,49,51,0,12,36.3,3.4,171,86,2189,236,0,12,50,45,0,12,76,50,11,17,52,42,25,23,40,27,131,70,21,24,83,42,35,28,8,13,2471,231,2013,482,6.47511129097531,3.48037231889923,1.98300283286119,0,6.92027519222987,88.587616349656,0,2.02347227842979,0,19.5062727640631,35.4771784232365,454.149377593361,10.3734439834025
"11001001301","Census Tract 13.01, District of Columbia, District of Columbia",352,208,110,80,147,99,0,12,35.3,4,315,142,3392,368,0,12,251,130,0,12,107,69,43,50,65,57,27,42,74,81,167,89,72,63,21,33,40,35,60,46,4160,343,2013,676,8.46153846153846,2.64423076923077,3.53365384615385,0,7.57211538461538,81.5384615384615,0,6.03365384615385,0,16.25,46.5976331360947,501.775147928994,37.1301775147929
"11001002102","Census Tract 21.02, District of Columbia, District of Columbia",926,353,314,144,249,119,27,29,35.2,4.2,3131,465,444,176,8,11,35,54,0,12,200,97,8,14,64,50,33,27,43,50,201,107,41,55,33,42,27,22,72,49,4901,562,2013,722,18.8941032442359,6.40685574372577,5.08059579677617,0.550907977963681,63.8849214446031,9.05937563762497,0.16323199347072,0.714139971434401,0,14.7316874107325,433.656509695291,61.4958448753463,4.84764542936288
"11001002202","Census Tract 22.02, District of Columbia, District of Columbia",847,411,391,145,202,128,19,22,34.2,3.2,2614,431,223,140,0,12,60,94,0,12,67,53,0,12,23,21,25,25,25,36,55,40,45,33,42,47,28,25,51,34,3595,436,2013,361,23.5605006954103,10.8762169680111,5.61891515994437,0.528511821974965,72.712100139082,6.20305980528512,0,1.66898470097357,0,10.0417246175243,724.09972299169,61.7728531855956,16.6204986149584
"11001002302","Census Tract 23.02, District of Columbia, District of Columbia",520,258,4,5,53,58,0,12,36,20.8,990,227,698,254,0,12,60,49,0,12,23,25,12,17,6,10,3,7,35,36,33,37,18,28,51,50,19,31,20,31,1808,277,2013,220,28.7610619469027,0.221238938053097,2.93141592920354,0,54.7566371681416,38.6061946902655,0,3.31858407079646,0,12.1681415929204,450,317.272727272727,27.2727272727273
"11001003400","Census Tract 34, District of Columbia, District of Columbia",679,331,350,137,279,123,14,24,22,2.2,3281,608,1236,386,9,14,118,80,0,17,47,40,76,67,55,47,6,13,18,21,29,30,84,72,50,54,42,43,10,15,5012,523,2013,417,13.5474860335196,6.98324022346369,5.56664006384677,0.279329608938547,65.462889066241,24.6608140462889,0.179569034317638,2.35434956105347,0,8.32003192338388,786.810551558753,296.402877697842,28.2973621103118
"11001005800","Census Tract 58, District of Columbia, District of Columbia",316,163,40,28,37,38,50,40,35.4,1.6,209,104,1736,195,0,12,530,183,0,12,40,35,27,37,39,41,63,41,42,26,77,55,7,11,66,38,44,39,22,20,2664,257,2013,427,11.8618618618619,1.5015015015015,1.38888888888889,1.87687687687688,7.84534534534535,65.1651651651652,0,19.8948948948949,0,16.0285285285285,48.9461358313817,406.55737704918,124.121779859485
"11001006400","Census Tract 64, District of Columbia, District of Columbia",1034,318,156,69,53,39,15,13,33.4,3.7,1928,281,83,62,12,19,142,157,0,12,36,25,35,29,22,25,12,14,13,16,119,62,61,40,45,43,18,27,6,9,2165,252,2013,367,47.7598152424942,7.20554272517321,2.44803695150115,0.69284064665127,89.0531177829099,3.8337182448037,0.554272517321016,6.55889145496536,0,16.9515011547344,525.340599455041,22.6158038147139,38.692098092643
"11001007407","Census Tract 74.07, District of Columbia, District of Columbia",460,220,228,116,101,63,7,14,33.9,3.3,2494,340,28,35,0,12,0,12,0,12,119,74,20,33,12,20,10,14,39,44,76,53,88,50,48,43,0,12,42,38,2601,335,2013,454,17.6855055747789,8.76585928489043,3.88312187620146,0.269127258746636,95.8861976163014,1.07650903498654,0,0,0,17.4548250672818,549.339207048458,6.16740088105727,0
"11001009203","Census Tract 92.03, District of Columbia, District of Columbia",402,211,375,168,45,52,54,49,33.5,5.7,1985,487,327,147,0,12,0,12,0,12,7,8,66,66,38,51,16,23,0,12,16,28,49,46,40,38,0,12,27,31,2609,505,2013,259,15.4082023763894,14.3733231123036,1.72479877347643,2.06975852817171,76.0827903411269,12.5335377539287,0,0,0,9.92717516289766,766.409266409266,126.254826254826,0
